time,ask,high_option_ask,low_option_ask,spx_price
12:13,36,0.65,5.9,5101.65
12:14,37,0.65,5.7,5102.17
12:15,38,0.7,6.2,5102.88
12:16,39,0.7,6.5,5102.72
12:17,38,0.75,6.7,5102.82
12:18,37,0.6,5.7,5102.0
12:19,36,0.6,5.7,5102.54
12:20,34,0.6,5.4,5103.01
12:21,33,0.55,5.0,5102.08
12:22,33,0.5,4.9,5103.19
12:23,34,0.55,5.1,5103.72
12:24,35,0.55,5.2,5103.31
12:25,36,0.6,5.6,5103.54
12:26,38,0.6,5.6,5104.82
12:27,38,0.65,6.2,5103.53
12:28,39,0.7,6.2,5104.23
12:29,39,0.7,6.6,5103.75
12:30,39,0.65,6.0,5104.33
12:31,40,0.65,6.4,5103.99
12:32,43,0.7,7.0,5102.53
12:33,44,0.75,7.2,5103.29
12:34,45,0.8,7.7,5104.29
12:35,46,0.9,7.1,5105.56
12:36,46,0.8,7.6,5105.28
12:37,46,0.85,7.2,5106.24
12:38,45,0.75,7.4,5106.89
12:39,45,0.8,7.5,5107.54
12:40,45,0.75,7.4,5108.19
12:41,45,0.75,7.0,5108.16
12:42,46,0.8,7.7,5108.06
12:43,45,0.85,7.4,5107.87
12:44,45,0.75,7.4,5106.11
12:45,42,0.7,6.9,5107.04
12:46,43,0.7,7.1,5106.98
12:47,45,0.75,7.5,5107.84
12:48,47,0.85,7.3,5106.24
12:49,47,0.95,6.5,5107.24
12:50,47,0.9,6.6,5107.4
12:51,46,0.8,7.6,5108.02
12:52,46,0.85,7.0,5107.74
12:53,45,0.75,7.7,5108.06
12:54,45,0.75,7.7,5108.3
12:55,47,0.75,7.3,5108.57
12:56,47,0.8,6.7,5109.95
12:57,46,0.75,7.1,5109.95
12:58,46,0.65,6.8,5110.32
12:59,45,0.7,7.6,5110.15
13:00,43,0.6,6.7,5111.34
13:01,45,0.55,6.4,5111.54
13:02,49,0.7,7.5,5109.81
13:03,49,0.8,6.4,5111.48
13:04,49,0.7,6.6,5110.69
13:05,52,0.75,5.9,5110.58
13:06,53,0.95,4.7,5111.1
13:07,55,1.05,4.5,5111.8
13:08,55,1.05,4.3,5110.84
13:09,56,1.05,4.1,5109.87
13:10,57,1.05,4.0,5109.64
13:11,58,1.0,3.8,5111.66
13:12,59,1.05,3.7,5110.75
13:13,60,1.1,3.2,5110.31
13:14,61,1.15,3.1,5111.43
13:15,61,1.25,2.9,5111.66
13:16,61,1.35,2.75,5112.66
13:17,61,1.45,2.6,5110.73
13:18,61,1.3,2.75,5110.26
13:19,62,1.35,2.5,5110.35
13:20,62,1.3,2.6,5110.57
13:21,63,1.3,2.6,5111.2
13:22,62,1.15,2.75,5111.49
13:23,63,1.2,2.6,5112.63
13:24,63,1.1,2.85,5111.92
13:25,62,1.15,2.8,5112.43
13:26,62,1.2,2.85,5113.18
13:27,62,1.3,2.6,5113.37
13:28,62,1.25,2.7,5112.61
13:29,62,1.4,2.4,5111.84
13:30,63,1.25,2.55,5111.97
13:31,64,1.65,1.85,5110.94
13:32,64,1.55,1.95,5111.97
13:33,63,1.55,1.95,5112.3
13:34,64,1.5,2.05,5113.33
13:35,64,1.4,2.1,5113.02
13:36,64,1.5,1.95,5113.97
13:37,64,1.6,1.85,5113.92
13:38,64,1.65,1.8,5112.84
13:39,65,1.6,1.8,5112.94
13:40,65,1.7,1.6,5112.3
13:41,65,1.65,1.65,5110.16
13:42,65,1.6,1.6,5108.53
13:43,65,1.45,1.8,5110.24
13:44,65,1.55,1.7,5110.54
13:45,66,1.6,1.5,5110.32
13:46,66,1.45,1.6,5111.46
13:47,67,1.45,1.45,5111.68
13:48,67,1.25,1.8,5110.96
13:49,67,1.25,1.8,5112.01
13:50,66,1.05,2.35,5112.86
13:51,66,1.1,2.0,5113.01
13:52,67,1.1,2.1,5112.91
13:53,67,1.2,1.85,5112.47
13:54,67,1.15,1.95,5113.06
13:55,67,1.2,1.75,5112.41
13:56,67,1.2,1.85,5111.43
13:57,68,1.3,1.6,5111.84
13:58,68,1.25,1.55,5110.96
13:59,69,1.05,1.8,5109.69
14:00,69,1.05,1.75,5110.09
14:01,69,0.9,1.95,5109.44
14:02,69,0.9,2.0,5109.25
14:03,70,1.05,1.6,5109.3
14:04,71,1.15,1.45,5108.58
14:05,71,1.3,1.2,5107.6
14:06,72,1.35,1.15,5108.47
14:07,72,1.55,0.95,5108.29
14:08,72,1.45,1.0,5108.98
14:09,72,1.55,0.9,5109.77
14:10,72,1.55,0.9,5108.37
14:11,73,1.5,0.85,5107.71
14:12,73,1.5,0.85,5109.41
14:13,72,1.7,0.75,5108.94
14:14,71,1.75,0.7,5107.85
14:15,70,2.05,0.5,5107.8
14:16,68,2.3,0.4,5107.92
14:17,69,2.2,0.45,5109.15
14:18,66,2.25,0.5,5107.25
14:19,63,2.65,0.45,5106.83
14:20,62,2.85,0.4,5105.83
14:21,62,3.0,0.4,5106.27
14:22,63,2.95,0.4,5105.86
14:23,67,2.7,0.45,5106.1
14:24,65,2.3,0.5,5106.85
14:25,65,2.6,0.45,5105.88
14:26,63,2.85,0.4,5105.72
14:27,62,3.1,0.4,5105.57
14:28,63,2.7,0.4,5104.74
14:29,63,2.85,0.4,5104.11
14:30,58,3.0,0.35,5105.26
14:31,54,4.2,0.3,5104.8
14:32,57,3.7,0.3,5102.01
14:33,59,3.7,0.3,5102.98
14:34,60,3.5,0.3,5103.05
14:35,59,3.1,0.35,5102.02
14:36,56,3.9,0.3,5104.04
14:37,57,3.7,0.3,5105.09
14:38,59,3.3,0.3,5103.86
14:39,58,3.3,0.3,5104.87
14:40,58,3.6,0.3,5106.45
14:41,59,3.2,0.3,5106.48
14:42,63,2.85,0.3,5106.11
14:43,60,2.95,0.3,5106.93
14:44,64,2.85,0.35,5105.66
14:45,65,2.55,0.35,5106.01
14:46,67,2.25,0.35,5107.02
14:47,67,2.2,0.35,5105.11
14:48,62,2.5,0.35,5105.41
14:49,59,3.1,0.3,5104.78
14:50,62,3.0,0.3,5105.39
14:51,65,2.3,0.35,5106.19
14:52,68,2.55,0.3,5105.79
14:53,72,1.95,0.35,5105.88
14:54,73,1.6,0.45,5105.56
14:55,71,1.55,0.4,5104.64
14:56,71,2.05,0.3,5104.35
14:57,70,1.9,0.35,5105.34
14:58,68,2.0,0.3,5106.93
14:59,72,1.95,0.3,5108.0
15:00,76,1.4,0.4,5109.48
15:01,79,1.2,0.35,5109.41
15:02,79,1.2,0.4,5109.57
15:03,78,1.35,0.35,5109.36
15:04,79,1.1,0.4,5108.23
15:05,79,1.1,0.35,5108.47
15:06,81,0.95,0.4,5108.71
15:07,83,0.9,0.35,5109.02
15:08,84,0.7,0.6,5109.08
15:09,84,0.55,0.7,5110.2
15:10,84,0.4,0.85,5110.39
15:11,84,0.4,0.95,5111.01
15:12,85,0.45,0.8,5110.36
15:13,86,0.45,0.85,5109.53
15:14,86,0.45,0.75,5109.89
15:15,87,0.5,0.65,5109.44
15:16,88,0.4,0.65,5109.73
15:17,89,0.4,0.6,5109.61
15:18,88,0.35,0.7,5108.43
