time,ask,high_option_ask,low_option_ask,spx_price
13:06,32,0.25,2.8,5111.1
13:07,32,0.25,2.9,5111.8
13:08,33,0.25,3.2,5110.84
13:09,31,0.25,3.0,5109.87
13:10,29,0.2,2.55,5109.64
13:11,30,0.2,2.9,5111.66
13:12,31,0.2,2.75,5110.75
13:13,32,0.2,2.85,5110.31
13:14,35,0.25,3.3,5111.43
13:15,35,0.25,3.4,5111.66
13:16,35,0.2,3.2,5112.66
13:17,33,0.25,3.1,5110.73
13:18,33,0.2,3.1,5110.26
13:19,33,0.2,3.1,5110.35
13:20,34,0.2,2.9,5110.57
13:21,35,0.25,3.5,5111.2
13:22,37,0.25,3.2,5111.49
13:23,37,0.25,3.9,5112.63
13:24,32,0.25,3.4,5111.92
13:25,27,0.2,2.65,5112.43
13:26,25,0.2,2.15,5113.18
13:27,27,0.2,2.35,5113.37
13:28,29,0.2,2.65,5112.61
13:29,29,0.2,2.7,5111.84
13:30,28,0.2,2.55,5111.97
13:31,27,0.2,2.15,5110.94
13:32,27,0.2,2.45,5111.97
13:33,27,0.2,2.25,5112.3
13:34,27,0.2,2.2,5113.33
13:35,28,0.2,2.45,5113.02
13:36,29,0.2,2.45,5113.97
13:37,28,0.2,2.55,5113.92
13:38,28,0.2,2.35,5112.84
13:39,28,0.2,2.5,5112.94
13:40,27,0.2,2.35,5112.3
13:41,27,0.2,2.2,5110.16
13:42,27,0.2,2.35,5108.53
13:43,28,0.2,2.25,5110.24
13:44,28,0.2,2.5,5110.54
13:45,30,0.2,2.5,5110.32
13:46,32,0.2,2.9,5111.46
13:47,33,0.2,2.55,5111.68
13:48,34,0.2,3.0,5110.96
13:49,35,0.2,3.1,5112.01
13:50,38,0.2,3.4,5112.86
13:51,38,0.2,3.3,5113.01
13:52,39,0.2,3.3,5112.91
13:53,38,0.2,3.1,5112.47
13:54,41,0.25,3.7,5113.06
13:55,42,0.25,3.9,5112.41
13:56,40,0.2,3.4,5111.43
13:57,39,0.2,3.3,5111.84
13:58,41,0.2,3.4,5110.96
13:59,43,0.25,4.0,5109.69
14:00,43,0.25,4.2,5110.09
14:01,40,0.2,3.2,5109.44
14:02,37,0.2,2.9,5109.25
14:03,37,0.2,2.9,5109.3
14:04,40,0.2,3.3,5108.58
14:05,42,0.2,3.5,5107.6
14:06,45,0.2,3.8,5108.47
14:07,45,0.2,4.2,5108.29
14:08,46,0.2,4.0,5108.98
14:09,48,0.2,4.2,5109.77
14:10,47,0.2,4.4,5108.37
14:11,46,0.2,3.7,5107.71
14:12,46,0.2,4.0,5109.41
14:13,45,0.2,4.0,5108.94
14:14,44,0.2,3.7,5107.85
14:15,46,0.2,3.5,5107.8
14:16,49,0.2,4.3,5107.92
14:17,48,0.2,4.0,5109.15
14:18,45,0.2,3.5,5107.25
14:19,42,0.2,3.3,5106.83
14:20,43,0.15,2.75,5105.83
14:21,45,0.2,3.7,5106.27
14:22,45,0.2,3.3,5105.86
14:23,45,0.2,3.3,5106.1
14:24,44,0.2,3.4,5106.85
14:25,44,0.2,3.4,5105.88
14:26,44,0.15,3.1,5105.72
14:27,46,0.15,3.2,5105.57
14:28,47,0.2,3.8,5104.74
14:29,46,0.2,3.6,5104.11
14:30,45,0.15,3.3,5105.26
14:31,43,0.15,3.0,5104.8
14:32,43,0.15,2.8,5102.01
14:33,42,0.15,2.8,5102.98
14:34,41,0.15,2.8,5103.05
14:35,42,0.15,2.5,5102.02
14:36,43,0.15,2.9,5104.04
14:37,44,0.15,2.85,5105.09
14:38,41,0.15,3.0,5103.86
14:39,39,0.1,2.3,5104.87
14:40,40,0.1,2.45,5106.45
14:41,42,0.15,2.75,5106.48
14:42,44,0.15,2.9,5106.11
14:43,44,0.15,2.8,5106.93
14:44,44,0.15,2.85,5105.66
14:45,42,0.15,2.75,5106.01
14:46,42,0.1,2.55,5107.02
14:47,45,0.1,2.85,5105.11
14:48,47,0.15,3.1,5105.41
14:49,47,0.15,3.3,5104.78
14:50,48,0.15,3.2,5105.39
14:51,46,0.15,3.2,5106.19
14:52,50,0.15,3.2,5105.79
14:53,56,0.15,3.3,5105.88
14:54,58,0.15,2.75,5105.56
14:55,57,0.15,2.9,5104.64
14:56,56,0.15,3.2,5104.35
14:57,59,0.15,2.85,5105.34
14:58,62,0.15,2.45,5106.93
14:59,63,0.15,2.2,5108.0
15:00,63,0.15,2.2,5109.48
15:01,65,0.15,1.95,5109.41
15:02,67,0.15,1.85,5109.57
15:03,69,0.15,1.75,5109.36
15:04,71,0.25,1.6,5108.23
15:05,72,0.3,1.5,5108.47
15:06,73,0.25,1.6,5108.71
15:07,73,0.3,1.3,5109.02
15:08,75,0.25,1.4,5109.08
15:09,74,0.25,1.25,5110.2
15:10,72,0.2,1.5,5110.39
15:11,73,0.2,1.4,5111.01
15:12,75,0.2,1.4,5110.36
15:13,76,0.25,1.2,5109.53
15:14,75,0.2,1.25,5109.89
15:15,78,0.2,1.05,5109.44
15:16,78,0.2,0.9,5109.73
15:17,76,0.2,0.9,5109.61
15:18,75,0.15,1.05,5108.43
15:19,75,0.15,1.05,5108.63
15:20,73,0.15,1.3,5109.51
15:21,76,0.15,1.1,5110.41
15:22,72,0.15,1.3,5110.0
15:23,67,0.15,1.3,5110.44
15:24,60,0.1,1.8,5110.9
15:25,56,0.1,2.5,5111.43
15:26,56,0.1,2.3,5111.11
15:27,54,0.1,2.2,5111.29
15:28,55,0.1,2.25,5111.32
15:29,43,0.1,2.4,5111.51
15:30,34,0.05,1.75,5112.37
15:31,29,0.05,1.55,5109.66
15:32,19,0.05,1.1,5110.33
15:33,17,0.05,0.95,5109.42
15:34,14,0.05,0.7,5109.31
15:35,12,0.05,0.75,5108.22
15:36,11,0.05,0.7,5108.03
15:37,11,0.05,0.7,5108.07
15:38,8,0.05,0.45,5108.34
15:39,8,0.05,0.35,5107.26
15:40,6,0.05,0.3,5106.97
15:41,6,0.05,0.25,5106.4
15:42,6,0.05,0.3,5106.0
15:43,6,0.05,0.25,5106.32
15:44,7,0.05,0.35,5104.72
15:45,7,0.05,0.35,5101.42
15:46,7,0.05,0.35,5103.75
15:47,10,0.05,0.35,5103.45
15:48,12,0.05,0.4,5103.44
15:49,14,0.05,0.4,5105.24
15:50,13,0.05,0.65,5104.72
15:51,8,0.05,0.15,5104.91
15:52,6,0.05,0.1,5104.29
15:53,4,0.05,0.1,5103.52
15:54,4,0.05,0.1,5103.46
15:55,4,0.05,0.05,5102.59
15:56,4,0.05,0.1,5100.17
15:57,3,0.05,0.05,5100.21
15:58,1,0.05,0.05,5100.62
15:59,1,0.05,0.05,5101.43
